dataset,lr,max_depth,n_estimators,metric,mean,std
Brazilian_houses,0.001,3,50,r2,0.07810150280477698,0.0014774548799332337
Brazilian_houses,0.001,3,50,mse,0.581252719122998,0.01422539360958136
Brazilian_houses,0.001,3,100,r2,0.1499283223166938,0.0026535234121897715
Brazilian_houses,0.001,3,100,mse,0.5359754222746401,0.013571900340499043
Brazilian_houses,0.001,3,500,r2,0.5435374505008534,0.009937109074785325
Brazilian_houses,0.001,3,500,mse,0.28785870449465145,0.011190008585922367
Brazilian_houses,0.001,3,1000,r2,0.7757916827234032,0.01448147789732411
Brazilian_houses,0.001,3,1000,mse,0.14144862567763128,0.011047252369801289
Brazilian_houses,0.001,5,50,r2,0.08336504524560111,0.0014518683040575773
Brazilian_houses,0.001,5,50,mse,0.5779331921201837,0.01410709863316192
Brazilian_houses,0.001,5,100,r2,0.16001539100154055,0.002787719394019995
Brazilian_houses,0.001,5,100,mse,0.5296170578823933,0.013487724144167847
Brazilian_houses,0.001,5,500,r2,0.5755614729991665,0.01049110561161413
Brazilian_houses,0.001,5,500,mse,0.2676736507223806,0.011130808898129573
Brazilian_houses,0.001,5,1000,r2,0.8094877295469567,0.015111499401923446
Brazilian_houses,0.001,5,1000,mse,0.1202093177841674,0.01114323984144777
Brazilian_houses,0.001,10,50,r2,0.08577958507463429,0.0016133691585786861
Brazilian_houses,0.001,10,50,mse,0.5764123893100257,0.014139026982041569
Brazilian_houses,0.001,10,100,r2,0.16431261047762305,0.003023653438775356
Brazilian_houses,0.001,10,100,mse,0.5269100966980722,0.013533783224541875
Brazilian_houses,0.001,10,500,r2,0.5880746522893399,0.011119525028277776
Brazilian_houses,0.001,10,500,mse,0.2597878457214454,0.01131119293610062
Brazilian_houses,0.001,10,1000,r2,0.8223801823664187,0.015643793160101237
Brazilian_houses,0.001,10,1000,mse,0.11208899470198372,0.011409621580542017
Brazilian_houses,0.01,3,50,r2,0.5448689382821323,0.010126945883365056
Brazilian_houses,0.01,3,50,mse,0.28702161221834854,0.011308145873933197
Brazilian_houses,0.01,3,100,r2,0.7777266130929618,0.014395200349779617
Brazilian_houses,0.01,3,100,mse,0.1402278290369888,0.0109717942927532
Brazilian_houses,0.01,3,500,r2,0.9828754675493732,0.01614088973491811
Brazilian_houses,0.01,3,500,mse,0.010893025143524086,0.010431360389235134
Brazilian_houses,0.01,3,1000,r2,0.9897760337507048,0.012595605935489735
Brazilian_houses,0.01,3,1000,mse,0.006518768007024204,0.008128040169982635
Brazilian_houses,0.01,5,50,r2,0.5754175802363994,0.010049331789948482
Brazilian_houses,0.01,5,50,mse,0.267758732189891,0.010830873966481115
Brazilian_houses,0.01,5,100,r2,0.8096322782224327,0.015140780007836861
Brazilian_houses,0.01,5,100,mse,0.12011796937080448,0.011158703974461736
Brazilian_houses,0.01,5,500,r2,0.9870147407374112,0.014605948260571459
Brazilian_houses,0.01,5,500,mse,0.008282191753701974,0.009421125256083025
Brazilian_houses,0.01,5,1000,r2,0.9909790898810081,0.012402109740146411
Brazilian_houses,0.01,5,1000,mse,0.005778083324075883,0.007988991448499431
Brazilian_houses,0.01,10,50,r2,0.5892851602611928,0.01090940906597176
Brazilian_houses,0.01,10,50,mse,0.25902604817399794,0.011236332535687184
Brazilian_houses,0.01,10,100,r2,0.8233756894229062,0.01567883595543684
Brazilian_houses,0.01,10,100,mse,0.11146317460635538,0.011437787090328694
Brazilian_houses,0.01,10,500,r2,0.9866246989712252,0.015674863536249202
Brazilian_houses,0.01,10,500,mse,0.008544056942725664,0.01012199656250198
Brazilian_houses,0.01,10,1000,r2,0.9893458483337199,0.014043689060216373
Brazilian_houses,0.01,10,1000,mse,0.006827742585603419,0.009065848609080168
Brazilian_houses,0.1,3,50,r2,0.9819466733318517,0.01603611036833526
Brazilian_houses,0.1,3,50,mse,0.011478454832206364,0.010368231868963221
Brazilian_houses,0.1,3,100,r2,0.988706510446525,0.012351387298909163
Brazilian_houses,0.1,3,100,mse,0.007191312794910617,0.007971796379730374
Brazilian_houses,0.1,3,500,r2,0.9918280209247003,0.009010290627282152
Brazilian_houses,0.1,3,500,mse,0.005185871526704918,0.005820475753310878
Brazilian_houses,0.1,3,1000,r2,0.9921220142097793,0.00880207443049403
Brazilian_houses,0.1,3,1000,mse,0.0049972696296379775,0.005686960253961442
Brazilian_houses,0.1,5,50,r2,0.9862739144988675,0.014244405351927973
Brazilian_houses,0.1,5,50,mse,0.008748934350867507,0.009195538070019178
Brazilian_houses,0.1,5,100,r2,0.9898289445321311,0.012108903007439251
Brazilian_houses,0.1,5,100,mse,0.006500489624650429,0.007801864386643512
Brazilian_houses,0.1,5,500,r2,0.9924581918622929,0.010325815585353585
Brazilian_houses,0.1,5,500,mse,0.0048314022898188385,0.006655643832851042
Brazilian_houses,0.1,5,1000,r2,0.992643261348159,0.010289379616132325
Brazilian_houses,0.1,5,1000,mse,0.004714465198542466,0.006630738434130774
Brazilian_houses,0.1,10,50,r2,0.985814551964196,0.015470418830296227
Brazilian_houses,0.1,10,50,mse,0.009054782366195106,0.009992966300940757
Brazilian_houses,0.1,10,100,r2,0.9886103747313661,0.01402233944229163
Brazilian_houses,0.1,10,100,mse,0.007290557045341803,0.009049482200042477
Brazilian_houses,0.1,10,500,r2,0.9907402911354998,0.013175947400987377
Brazilian_houses,0.1,10,500,mse,0.005943831093528465,0.00849020720599901
Brazilian_houses,0.1,10,1000,r2,0.9908720282647062,0.01312051495488287
Brazilian_houses,0.1,10,1000,mse,0.005860131732842927,0.008453660488428967
Brazilian_houses,0.3,3,50,r2,0.9871517347029177,0.010563606495003475
Brazilian_houses,0.3,3,50,mse,0.00814310407305611,0.0068095220424023864
Brazilian_houses,0.3,3,100,r2,0.9896318946651614,0.009433142740481374
Brazilian_houses,0.3,3,100,mse,0.006565509305831096,0.006068616939967614
Brazilian_houses,0.3,3,500,r2,0.9911912975803305,0.008840088436514485
Brazilian_houses,0.3,3,500,mse,0.005572815054797061,0.0056699312015245674
Brazilian_houses,0.3,3,1000,r2,0.9914912276112242,0.008818472540521836
Brazilian_houses,0.3,3,1000,mse,0.005382689717114425,0.005654033975091274
Brazilian_houses,0.3,5,50,r2,0.9888508095765701,0.012156524692396984
Brazilian_houses,0.3,5,50,mse,0.007120228203939695,0.00785321679424385
Brazilian_houses,0.3,5,100,r2,0.9910798027450367,0.011248174308239631
Brazilian_houses,0.3,5,100,mse,0.005709243959183397,0.007258371461203514
Brazilian_houses,0.3,5,500,r2,0.9921662614636781,0.010936026353891829
Brazilian_houses,0.3,5,500,mse,0.005022855890288752,0.007052546952638103
Brazilian_houses,0.3,5,1000,r2,0.9922484617146529,0.010894413621191104
Brazilian_houses,0.3,5,1000,mse,0.004970490889913767,0.00702458049303517
Brazilian_houses,0.3,10,50,r2,0.9883735200588644,0.013757732230706653
Brazilian_houses,0.3,10,50,mse,0.00744140037323629,0.008896047379109921
Brazilian_houses,0.3,10,100,r2,0.9896557878150671,0.013493118251770794
Brazilian_houses,0.3,10,100,mse,0.0066331214356431635,0.008717490767798854
Brazilian_houses,0.3,10,500,r2,0.9902250246987917,0.013348593815563694
Brazilian_houses,0.3,10,500,mse,0.0062732114286125325,0.008619827742954302
Brazilian_houses,0.3,10,1000,r2,0.9902509199617132,0.013346174272106836
Brazilian_houses,0.3,10,1000,mse,0.006256883931167812,0.008618146561295089
wine,0.001,3,50,r2,0.018198879985713602,0.004564146626089022
wine,0.001,3,50,mse,0.7456501362564126,0.042714757577544546
wine,0.001,3,100,r2,0.037307899693633594,0.0054015675267200846
wine,0.001,3,100,mse,0.7311614090294896,0.042328984340252805
wine,0.001,3,500,r2,0.14548860953872217,0.013407566663365874
wine,0.001,3,500,mse,0.6490872915110237,0.04014084054548865
wine,0.001,3,1000,r2,0.2151129990810506,0.02022970101418879
wine,0.001,3,1000,mse,0.5962133139730386,0.03914748920266375
wine,0.001,5,50,r2,0.020702624134481262,0.004411693678354203
wine,0.001,5,50,mse,0.7437617233753274,0.042823851087671054
wine,0.001,5,100,r2,0.04225759067524334,0.005141580686168726
wine,0.001,5,100,mse,0.7274167014733328,0.04235043262538483
wine,0.001,5,500,r2,0.16438203936388587,0.013102699666944407
wine,0.001,5,500,mse,0.6347868914350127,0.040087138691245056
wine,0.001,5,1000,r2,0.24316982870339438,0.0195880780854457
wine,0.001,5,1000,mse,0.574969890596669,0.038843517001665585
wine,0.001,10,50,r2,0.02322445387547396,0.004296751385027173
wine,0.001,10,50,mse,0.7418466694731778,0.04272241547920892
wine,0.001,10,100,r2,0.04730130337403925,0.004583500934943243
wine,0.001,10,100,mse,0.7235929725269993,0.04223338172807904
wine,0.001,10,500,r2,0.18642932286255198,0.012249815169810222
wine,0.001,10,500,mse,0.6180964254786957,0.039912173807465895
wine,0.001,10,1000,r2,0.28036952928805514,0.01902885846261966
wine,0.001,10,1000,mse,0.5468056338341042,0.03851324867650493
wine,0.01,3,50,r2,0.14682892126747643,0.013517097911160564
wine,0.01,3,50,mse,0.648091116508898,0.04042518777675158
wine,0.01,3,100,r2,0.2163910938722767,0.020281123589144166
wine,0.01,3,100,mse,0.5952613152999338,0.03937378515667926
wine,0.01,3,500,r2,0.3288871487615512,0.026803370076327875
wine,0.01,3,500,mse,0.5095212596575767,0.03345116697167348
wine,0.01,3,1000,r2,0.36123036181351587,0.02709234404158649
wine,0.01,3,1000,mse,0.484914024485525,0.03184789428831467
wine,0.01,5,50,r2,0.1655584192783615,0.013580204529579998
wine,0.01,5,50,mse,0.6339045462538628,0.040320709877048715
wine,0.01,5,100,r2,0.243393557001835,0.020482314712516336
wine,0.01,5,100,mse,0.5748245240313342,0.03945531162917397
wine,0.01,5,500,r2,0.36376503884672917,0.026527596004095724
wine,0.01,5,500,mse,0.4831736643309982,0.03418290842008717
wine,0.01,5,1000,r2,0.39204984620956373,0.027968360688612085
wine,0.01,5,1000,mse,0.4616823130287571,0.0337714772401857
wine,0.01,10,50,r2,0.1854204161106828,0.012337250625958758
wine,0.01,10,50,mse,0.618859334870257,0.03992545061891143
wine,0.01,10,100,r2,0.2800066244597418,0.018929206125406342
wine,0.01,10,100,mse,0.5470595377726859,0.038161004196308065
wine,0.01,10,500,r2,0.419507342471098,0.029165718522523868
wine,0.01,10,500,mse,0.4409957206379955,0.035551272716326646
wine,0.01,10,1000,r2,0.4512039666553195,0.02999425923621812
wine,0.01,10,1000,mse,0.4169616395035766,0.03538437352288978
wine,0.1,3,50,r2,0.3323510932269002,0.026836605122348867
wine,0.1,3,50,mse,0.5069689343942512,0.03438638110662361
wine,0.1,3,100,r2,0.3612265001817918,0.028337624198437994
wine,0.1,3,100,mse,0.48494040621029477,0.0327739093217155
wine,0.1,3,500,r2,0.4105757095372983,0.028952424989568123
wine,0.1,3,500,mse,0.44770234272984605,0.034681682473140726
wine,0.1,3,1000,r2,0.4226555680933416,0.02829464363307636
wine,0.1,3,1000,mse,0.438483622435736,0.033415701034156704
wine,0.1,5,50,r2,0.3602953469955371,0.027919456865838146
wine,0.1,5,50,mse,0.48581483694212135,0.035058346778041
wine,0.1,5,100,r2,0.38507438016098394,0.028460152703977486
wine,0.1,5,100,mse,0.46699030671322433,0.03428755142658041
wine,0.1,5,500,r2,0.43983146153620545,0.032515301632205396
wine,0.1,5,500,mse,0.4256489403397751,0.03762338873944932
wine,0.1,5,1000,r2,0.4600397766703644,0.031570066930404254
wine,0.1,5,1000,mse,0.4102259747262463,0.035615649803286215
wine,0.1,10,50,r2,0.4169356678990754,0.028426268573424056
wine,0.1,10,50,mse,0.44296362665112143,0.03563682511856631
wine,0.1,10,100,r2,0.44672539238318854,0.028851639274394096
wine,0.1,10,100,mse,0.4204171602964821,0.03589140792489757
wine,0.1,10,500,r2,0.5128947574582743,0.028462866618135706
wine,0.1,10,500,mse,0.3702236077883582,0.03410319849467446
wine,0.1,10,1000,r2,0.5205104197366754,0.02701709470037659
wine,0.1,10,1000,mse,0.3644661171715753,0.03333140635745445
wine,0.3,3,50,r2,0.3737542026696753,0.027727239867208688
wine,0.3,3,50,mse,0.4752819401080107,0.02994780423817186
wine,0.3,3,100,r2,0.39548172290090816,0.02370653384383872
wine,0.3,3,100,mse,0.4588909923774157,0.028825827842281257
wine,0.3,3,500,r2,0.42337451461518516,0.021715216132908055
wine,0.3,3,500,mse,0.4377472111819606,0.027587844411821928
wine,0.3,3,1000,r2,0.42591480895764,0.024074485217410173
wine,0.3,3,1000,mse,0.4356947774313341,0.02646738718956329
wine,0.3,5,50,r2,0.39270092506136745,0.032594930519986215
wine,0.3,5,50,mse,0.46132718442424203,0.03794850447983268
wine,0.3,5,100,r2,0.4145570543124365,0.03170275104096641
wine,0.3,5,100,mse,0.4446726448999995,0.03624567052472685
wine,0.3,5,500,r2,0.45058736644201647,0.03547168035899162
wine,0.3,5,500,mse,0.4171630924860871,0.035275859878857695
wine,0.3,5,1000,r2,0.4579559539662312,0.03530458824264257
wine,0.3,5,1000,mse,0.411659890122669,0.03602857132667367
wine,0.3,10,50,r2,0.4378276911446249,0.031522942134288634
wine,0.3,10,50,mse,0.42699078171140525,0.035052295379719975
wine,0.3,10,100,r2,0.4673081108241754,0.03431948261882784
wine,0.3,10,100,mse,0.4046273694872329,0.03613505760196322
wine,0.3,10,500,r2,0.48725400986906153,0.03659133029909795
wine,0.3,10,500,mse,0.38938580357023617,0.035827503100490085
wine,0.3,10,1000,r2,0.4869543902595647,0.035978475268689095
wine,0.3,10,1000,mse,0.38960665904794983,0.035373668039967644
ailerons,0.001,3,50,r2,0.05382167369345714,0.001511803971075282
ailerons,0.001,3,50,mse,1.5586733278795114e-07,8.469765065243295e-09
ailerons,0.001,3,100,r2,0.1039398742448043,0.0022939066916077755
ailerons,0.001,3,100,mse,1.4761280248329673e-07,8.054762491682191e-09
ailerons,0.001,3,500,r2,0.3861829945921971,0.007893614404800594
ailerons,0.001,3,500,mse,1.0111187611579889e-07,5.568014975624018e-09
ailerons,0.001,3,1000,r2,0.5669881704125526,0.009739142586216679
ailerons,0.001,3,1000,mse,7.13179869280413e-08,3.9690099363410285e-09
ailerons,0.001,5,50,r2,0.06207172638123987,0.0013814067666738999
ailerons,0.001,5,50,mse,1.5450841511794383e-07,8.396952144714456e-09
ailerons,0.001,5,100,r2,0.11993864335830964,0.002184317042315651
ailerons,0.001,5,100,mse,1.44977421448897e-07,7.911513821271727e-09
ailerons,0.001,5,500,r2,0.43796400339229746,0.007572688309148765
ailerons,0.001,5,500,mse,9.258641293648458e-08,5.178730961180984e-09
ailerons,0.001,5,1000,r2,0.6308168844337638,0.009832920081129187
ailerons,0.001,5,1000,mse,6.080473905672937e-08,3.473696097482874e-09
ailerons,0.001,10,50,r2,0.0652018406018484,0.001062911424496711
ailerons,0.001,10,50,mse,1.5399599935429167e-07,8.427051411101166e-09
ailerons,0.001,10,100,r2,0.12571604443933523,0.0018303132326418043
ailerons,0.001,10,100,mse,1.4403113592264571e-07,7.957474771419656e-09
ailerons,0.001,10,500,r2,0.4607886510588245,0.007523546552025502
ailerons,0.001,10,500,mse,8.883844667842685e-08,5.1833722233229616e-09
ailerons,0.001,10,1000,r2,0.6587422288057821,0.009840897775640015
ailerons,0.001,10,1000,mse,5.621206669959673e-08,3.3664644176564863e-09
ailerons,0.01,3,50,r2,0.3869682424389002,0.007908628740606704
ailerons,0.01,3,50,mse,1.0098255322034436e-07,5.563445617652476e-09
ailerons,0.01,3,100,r2,0.5676658205921203,0.0100651947113091
ailerons,0.01,3,100,mse,7.120857617331734e-08,4.026029476734995e-09
ailerons,0.01,3,500,r2,0.81575247298814,0.00949106786111129
ailerons,0.01,3,500,mse,3.031834348911744e-08,1.7514128888668903e-09
ailerons,0.01,3,1000,r2,0.8354211241218096,0.008641389416484901
ailerons,0.01,3,1000,mse,2.707591733525532e-08,1.4745868559874437e-09
ailerons,0.01,5,50,r2,0.43809880416097907,0.008105782588887759
ailerons,0.01,5,50,mse,9.256841876549114e-08,5.273940625678648e-09
ailerons,0.01,5,100,r2,0.6315983434498145,0.009953888518835576
ailerons,0.01,5,100,mse,6.067416079500729e-08,3.446872598481736e-09
ailerons,0.01,5,500,r2,0.8327763204932952,0.009048526927701082
ailerons,0.01,5,500,mse,2.750356762817241e-08,1.4073038761787343e-09
ailerons,0.01,5,1000,r2,0.8434769762385912,0.008739664088164787
ailerons,0.01,5,1000,mse,2.5740532086585205e-08,1.30172269018028e-09
ailerons,0.01,10,50,r2,0.4612676110696439,0.007443728193429955
ailerons,0.01,10,50,mse,8.876139181974043e-08,5.212244013985819e-09
ailerons,0.01,10,100,r2,0.6591029096623885,0.009629101949218163
ailerons,0.01,10,100,mse,5.61538016514195e-08,3.369265397298533e-09
ailerons,0.01,10,500,r2,0.8405793942252675,0.009909963917142542
ailerons,0.01,10,500,mse,2.620756741139056e-08,1.3250222303493484e-09
ailerons,0.01,10,1000,r2,0.8479532786609013,0.009719599734032101
ailerons,0.01,10,1000,mse,2.4991179408154554e-08,1.236131560193395e-09
ailerons,0.1,3,50,r2,0.8162923009448877,0.010072092712000384
ailerons,0.1,3,50,mse,3.022515492079526e-08,1.7609345079416916e-09
ailerons,0.1,3,100,r2,0.8340440126956891,0.009125053115829503
ailerons,0.1,3,100,mse,2.729855792027428e-08,1.4812572528597163e-09
ailerons,0.1,3,500,r2,0.847287878111676,0.008263435752575933
ailerons,0.1,3,500,mse,2.5113740750469715e-08,1.2230736397401028e-09
ailerons,0.1,3,1000,r2,0.849913817665519,0.008367738727798642
ailerons,0.1,3,1000,mse,2.4669639562186083e-08,9.766114970796027e-10
ailerons,0.1,5,50,r2,0.832003055165283,0.009674743360099231
ailerons,0.1,5,50,mse,2.762315111753173e-08,1.359899407902057e-09
ailerons,0.1,5,100,r2,0.8418646044999546,0.00922599157725599
ailerons,0.1,5,100,mse,2.5997629867022743e-08,1.2225211180748205e-09
ailerons,0.1,5,500,r2,0.8529494841764761,0.008319527439730613
ailerons,0.1,5,500,mse,2.4173480640888105e-08,1.0638808495755326e-09
ailerons,0.1,5,1000,r2,0.8540635544804642,0.008879109612862271
ailerons,0.1,5,1000,mse,2.3982735247621402e-08,1.0225044630120264e-09
ailerons,0.1,10,50,r2,0.8386682865815462,0.009602859807406581
ailerons,0.1,10,50,mse,2.6520120605012153e-08,1.2258781548671753e-09
ailerons,0.1,10,100,r2,0.8453990836497397,0.0093487335054523
ailerons,0.1,10,100,mse,2.5413022993916604e-08,1.1933967045842095e-09
ailerons,0.1,10,500,r2,0.8542340147359961,0.009022161302065502
ailerons,0.1,10,500,mse,2.3954633164526916e-08,1.0358428022715013e-09
ailerons,0.1,10,1000,r2,0.8532575970525966,0.009276394300875263
ailerons,0.1,10,1000,mse,2.4112457819869816e-08,1.0237671102403485e-09
ailerons,0.3,3,50,r2,0.8326234967889944,0.01014503058555302
ailerons,0.3,3,50,mse,2.7514657359981186e-08,1.3204207439688344e-09
ailerons,0.3,3,100,r2,0.8397742746200659,0.009845075778977086
ailerons,0.3,3,100,mse,2.6332003759578448e-08,1.1337749578462666e-09
ailerons,0.3,3,500,r2,0.8476766662855832,0.00984874857243076
ailerons,0.3,3,500,mse,2.501474977864152e-08,7.221801304265405e-10
ailerons,0.3,3,1000,r2,0.8458732798880252,0.010286129232478354
ailerons,0.3,3,1000,mse,2.5306148614320772e-08,6.919906923078939e-10
ailerons,0.3,5,50,r2,0.8392767897233744,0.009695730534950923
ailerons,0.3,5,50,mse,2.6423973359082585e-08,1.339196066085431e-09
ailerons,0.3,5,100,r2,0.8447502220271682,0.009385203054946691
ailerons,0.3,5,100,mse,2.5524043813764472e-08,1.3063863469554265e-09
ailerons,0.3,5,500,r2,0.8487292702869833,0.00998513773852297
ailerons,0.3,5,500,mse,2.485470831943993e-08,1.1487933308009882e-09
ailerons,0.3,5,1000,r2,0.8464742151619566,0.010676395501353525
ailerons,0.3,5,1000,mse,2.5222281765030284e-08,1.2291238833415128e-09
ailerons,0.3,10,50,r2,0.8424703277880174,0.012038177821808046
ailerons,0.3,10,50,mse,2.5876632209447143e-08,1.4166920059572892e-09
ailerons,0.3,10,100,r2,0.8445976611031922,0.011815321229238234
ailerons,0.3,10,100,mse,2.5524457856062194e-08,1.3425833646235463e-09
ailerons,0.3,10,500,r2,0.8410048331722664,0.010595613437785837
ailerons,0.3,10,500,mse,2.6126064628330105e-08,1.261913324575015e-09
ailerons,0.3,10,1000,r2,0.8395828753526973,0.01052058449555621
ailerons,0.3,10,1000,mse,2.6361545316229195e-08,1.2730810193358264e-09
houses,0.001,3,50,r2,0.039982365610381376,0.001105270787986264
houses,0.001,3,50,mse,0.30985320398118943,0.00996373309188148
houses,0.001,3,100,r2,0.07696637112598868,0.001972011835466385
houses,0.001,3,100,mse,0.29791696946810253,0.009618211744325205
houses,0.001,3,500,r2,0.28425918826132446,0.007144912623144731
houses,0.001,3,500,mse,0.2310072163013866,0.007687794142045492
houses,0.001,3,1000,r2,0.41833154073700635,0.011012866207123656
houses,0.001,3,1000,mse,0.1877224197076277,0.006599887082602935
houses,0.001,5,50,r2,0.04741026630963783,0.0009576557892210421
houses,0.001,5,50,mse,0.3074570667800435,0.009924979796129767
houses,0.001,5,100,r2,0.09142026999910743,0.0016926898053904536
houses,0.001,5,100,mse,0.2932519582899704,0.009467432476138234
houses,0.001,5,500,r2,0.3382858544382776,0.0065111710421084995
houses,0.001,5,500,mse,0.2135661756381919,0.0069876735064953125
houses,0.001,5,1000,r2,0.4992696843569611,0.009993651105803122
houses,0.001,5,1000,mse,0.16159018920538626,0.0054525370437931275
houses,0.001,10,50,r2,0.05773115288511519,0.000855486583117675
houses,0.001,10,50,mse,0.30412498920043285,0.009787433410998355
houses,0.001,10,100,r2,0.11119191892289708,0.0015344287700678632
houses,0.001,10,100,mse,0.28686969771784443,0.00923366695418487
houses,0.001,10,500,r2,0.4052483108876908,0.005377846589520176
houses,0.001,10,500,mse,0.19194842487700736,0.006048158655729706
houses,0.001,10,1000,r2,0.5817406703307354,0.008155166429028653
houses,0.001,10,1000,mse,0.13496712020780527,0.004225890343903156
houses,0.01,3,50,r2,0.2845374902880238,0.007321494268070829
houses,0.01,3,50,mse,0.2309173101101143,0.0077009535011094005
houses,0.01,3,100,r2,0.41758404264458343,0.01044380865368441
houses,0.01,3,100,mse,0.18796645549098118,0.006590438200176452
houses,0.01,3,500,r2,0.6870064867990021,0.01486964333149651
houses,0.01,3,500,mse,0.1009720984237846,0.004794768694114476
houses,0.01,3,1000,r2,0.75370722948909,0.014143777209585743
houses,0.01,3,1000,mse,0.07943863350953233,0.004220489204383619
houses,0.01,5,50,r2,0.3394169786357545,0.006977965691640911
houses,0.01,5,50,mse,0.21320131742358198,0.007031516155808482
houses,0.01,5,100,r2,0.5002817479317178,0.010284630667020202
houses,0.01,5,100,mse,0.16126966032702333,0.005676341639131342
houses,0.01,5,500,r2,0.744287482038144,0.013577210884515667
houses,0.01,5,500,mse,0.08247929890263647,0.004065565621223326
houses,0.01,5,1000,r2,0.7908725250025513,0.012505647093609141
houses,0.01,5,1000,mse,0.06744515238184123,0.003627328906759605
houses,0.01,10,50,r2,0.40772340825396985,0.005471736259220769
houses,0.01,10,50,mse,0.19115124690812327,0.006086520220372834
houses,0.01,10,100,r2,0.5836978942060154,0.008526597707184242
houses,0.01,10,100,mse,0.13433918109125748,0.004399433255041203
houses,0.01,10,500,r2,0.7949507144779984,0.01114816986539876
houses,0.01,10,500,mse,0.06613652796681316,0.0032996296712072873
houses,0.01,10,1000,r2,0.8224779441891567,0.010398123648702434
houses,0.01,10,1000,mse,0.057260155494182174,0.0031411930512532547
houses,0.1,3,50,r2,0.690810138186804,0.015210120024001435
houses,0.1,3,50,mse,0.09973825614931661,0.004779004570691883
houses,0.1,3,100,r2,0.7530544637723886,0.014192550939990986
houses,0.1,3,100,mse,0.07964893170108638,0.004255220458548992
